"indicator","reportyear","FIPS","County_Name","County_FIPS","h20contam_d","h20contam_nr","h20contam_pct","h20contam_se_pct","h20contam_rse","h20contam_pctile","source","version","notes"
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670413,"Los Angeles",6037,NA,NA,187.2425461,NA,NA,85.82060824,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670416,"Los Angeles",6037,NA,NA,217.7118992,NA,NA,82.80508148,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670500,"Los Angeles",6037,NA,NA,187.2425461,NA,NA,85.82060824,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670602,"Los Angeles",6037,NA,NA,405.4293008,NA,NA,57.75696138,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670701,"Los Angeles",6037,NA,NA,422.315243,NA,NA,56.08879764,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037670702,"Los Angeles",6037,NA,NA,407.7668649,NA,NA,57.3206724,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037700101,"Los Angeles",6037,NA,NA,664.0690784,NA,NA,23.61093289,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037700102,"Los Angeles",6037,NA,NA,664.0690784,NA,NA,23.61093289,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037700200,"Los Angeles",6037,NA,NA,632.9129197,NA,NA,28.64108816,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037700300,"Los Angeles",6037,NA,NA,632.9906065,NA,NA,28.6154241,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037700400,"Los Angeles",6037,NA,NA,711.4374684,NA,NA,16.73296548,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037700501,"Los Angeles",6037,NA,NA,664.1700324,NA,NA,21.46798409,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037700502,"Los Angeles",6037,NA,NA,717.6258141,NA,NA,16.43782882,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037700600,"Los Angeles",6037,NA,NA,614.2751969,NA,NA,34.65930964,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037700700,"Los Angeles",6037,NA,NA,612.3059346,NA,NA,34.87745413,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037700801,"Los Angeles",6037,NA,NA,607.0543626,NA,NA,35.24958296,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037700802,"Los Angeles",6037,NA,NA,611.7592796,NA,NA,34.89028615,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037700901,"Los Angeles",6037,NA,NA,677.7257908,NA,NA,20.36442962,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037700902,"Los Angeles",6037,NA,NA,608.348727,NA,NA,35.1340947,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037701000,"Los Angeles",6037,NA,NA,625.4640695,NA,NA,29.43667394,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037701201,"Los Angeles",6037,NA,NA,339.4315297,NA,NA,64.42961632,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037701202,"Los Angeles",6037,NA,NA,307.714662,NA,NA,67.15000642,"CES_3.0_2017","Wed13Dec17",""
"CalEnviroScreen 3.0 drinking water contaminant index for selected contaminants ","2005-2013",6037701302,"Los Angeles",6037,NA,NA,307.714662,NA,NA,67.15000642,"CES_3.0_2017","Wed13Dec17",""
